dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.311470,1.125000,8.311510,4.409075,-5.763934,-9.859609,0.000000
0.020000,8.397296,1.125000,8.397335,4.291292,-5.889148,-6.260682,0.000000
0.020000,8.480755,1.125000,8.480795,4.172977,-5.915765,-1.330877,0.000000
0.020000,8.561849,1.125000,8.561888,4.054661,-5.915765,-0.000000,0.000000
0.020000,8.640576,1.125000,8.640615,3.936346,-5.915765,0.000000,0.000000
0.020000,8.716936,1.125000,8.716976,3.818031,-5.915765,-0.000000,0.000000
0.020000,8.790931,1.125000,8.790970,3.699716,-5.915765,-0.000000,0.000000
0.020000,8.862559,1.125000,8.862598,3.581400,-5.915765,0.000000,0.000000
0.020000,8.931820,1.125000,8.931860,3.463085,-5.915765,0.000000,0.000000
0.020000,8.998716,1.125000,8.998755,3.344770,-5.915765,-0.000000,0.000000
0.020000,9.063245,1.125000,9.063284,3.226454,-5.915765,0.000000,0.000000
0.020000,9.125407,1.125000,9.125447,3.108139,-5.915765,0.000000,0.000000
0.020000,9.185204,1.125000,9.185243,2.989824,-5.915765,0.000000,0.000000
0.020000,9.242634,1.125000,9.242674,2.871508,-5.915765,0.000000,0.000000
0.020000,9.297698,1.125000,9.297737,2.753193,-5.915765,-0.000000,0.000000
0.020000,9.350396,1.125000,9.350435,2.634878,-5.915765,0.000000,0.000000
0.020000,9.400727,1.125000,9.400766,2.516562,-5.915765,0.000000,0.000000
0.020000,9.448692,1.125000,9.448731,2.398247,-5.915765,-0.000000,0.000000
0.020000,9.494290,1.125000,9.494330,2.279932,-5.915765,0.000000,0.000000
0.020000,9.537523,1.125000,9.537562,2.161617,-5.915765,-0.000000,0.000000
0.020000,9.578389,1.125000,9.578428,2.043301,-5.915765,-0.000000,0.000000
0.020000,9.616888,1.125000,9.616928,1.924986,-5.915765,0.000000,0.000000
0.020000,9.653022,1.125000,9.653061,1.806671,-5.915765,0.000000,0.000000
0.020000,9.686818,1.125000,9.686857,1.689795,-5.843787,3.598927,0.000000
0.020000,9.718344,1.125000,9.718384,1.576331,-5.673212,8.528731,0.000000
0.020000,9.747681,1.125000,9.747720,1.466810,-5.476020,9.859609,0.000000
0.020000,9.774905,1.125000,9.774945,1.361234,-5.278828,9.859609,0.000000
0.020000,9.800097,1.125000,9.800137,1.259601,-5.081636,9.859609,0.000000
0.020000,9.823336,1.125000,9.823375,1.161912,-4.884443,9.859609,0.000000
0.020000,9.844699,1.125000,9.844738,1.068167,-4.687251,9.859609,0.000000
0.020000,9.864266,1.125000,9.864306,0.978366,-4.490059,9.859609,0.000000
0.020000,9.882116,1.125000,9.882156,0.892509,-4.292867,9.859609,0.000000
0.020000,9.898328,1.125000,9.898368,0.810595,-4.095675,9.859609,0.000000
0.020000,9.912981,1.125000,9.913020,0.732625,-3.898483,9.859609,0.000000
0.020000,9.926153,1.125000,9.926192,0.658600,-3.701290,9.859609,0.000000
0.020000,9.937923,1.125000,9.937963,0.588518,-3.504098,9.859609,0.000000
0.020000,9.948371,1.125000,9.948410,0.522380,-3.306906,9.859609,0.000000
0.020000,9.957574,1.125000,9.957614,0.460185,-3.109714,9.859609,0.000000
0.020000,9.965613,1.125000,9.965653,0.401935,-2.912522,9.859609,0.000000
0.020000,9.972566,1.125000,9.972605,0.347628,-2.715329,9.859609,0.000000
0.020000,9.978511,1.125000,9.978550,0.297266,-2.518137,9.859609,0.000000
0.020000,9.983528,1.125000,9.983567,0.250847,-2.320945,9.859609,0.000000
0.020000,9.987695,1.125000,9.987735,0.208372,-2.123753,9.859609,0.000000
0.020000,9.991092,1.125000,9.991132,0.169840,-1.926561,9.859609,0.000000
0.020000,9.993797,1.125000,9.993837,0.135253,-1.729369,9.859609,0.000000
0.020000,9.995889,1.125000,9.995929,0.104609,-1.532176,9.859609,0.000000
0.020000,9.997448,1.125000,9.997487,0.077910,-1.334984,9.859609,0.000000
0.020000,9.998551,1.125000,9.998590,0.055154,-1.137792,9.859609,0.000000
0.020000,9.999278,1.125000,9.999317,0.036342,-0.940600,9.859609,0.000000
0.020000,9.999707,1.125000,9.999746,0.021474,-0.743408,9.859609,0.000000
0.020000,9.999918,1.125000,9.999957,0.010549,-0.546216,9.859609,0.000000
0.020000,9.999989,1.125000,10.000029,0.003569,-0.349023,9.859609,0.000000
0.020000,10.000000,1.125000,10.000039,0.000532,-0.151831,9.859609,0.000000
0.020000,10.000000,1.125000,10.000039,0.000000,-0.026618,6.260682,0.000000
